Gender,State,MaritalStatus,HasChild,Salary,Rate,SingleExemp,MarriedExemp,ChildExemp
F,KY,S,N,48,32.0,20,0,0
M,AZ,M,Y,20,18.0,0,4200,2300
M,IN,S,N,32,18.0,1000,0,0
M,DC,S,Y,38,48.0,1370,0,1370
F,OK,M,Y,27,33.0,0,2000,1000
F,GA,M,Y,20,32.0,0,5400,3000
M,SD,M,N,23,0.0,0,0,0
M,IN,S,Y,11,18.0,1000,0,1000
F,PA,M,N,49,16.0,0,0,0
F,WY,M,Y,0,0.0,0,0,0
F,WI,M,Y,6,25.0,0,1400,400
M,AL,M,Y,27,26.0,0,3000,300
F,NJ,S,Y,12,7.0,1000,0,1500
M,MS,S,N,14,26.0,6000,0,0
M,KS,S,N,31,34.0,2250,0,0
M,NV,M,N,12,0.0,0,0,0
M,DE,S,Y,19,24.0,110,0,110
F,NC,S,Y,20,35.0,3300,0,3300
F,WY,S,Y,33,0.0,0,0,0
M,CT,M,Y,47,26.0,0,24500,0
F,KS,S,Y,47,34.0,2250,0,2250
M,AR,M,N,30,37.0,0,40,0
F,UT,S,N,27,37.0,2475,0,0
M,MD,S,N,7,25.0,2400,0,0
M,RI,M,Y,13,0.0,0,0,0
F,FL,S,N,21,0.0,0,0,0
M,WA,M,Y,4,0.0,0,0,0
M,CO,M,N,14,24.0,0,0,0
F,ME,S,N,17,45.0,2850,0,0
F,MT,S,Y,18,37.0,1900,0,1900
M,DE,S,Y,4,13.0,110,0,110
F,TX,S,Y,37,0.0,0,0,0
F,DC,M,N,33,48.0,0,2740,0
F,FL,M,N,37,0.0,0,0,0
M,ND,S,N,14,11.0,3300,0,0
M,SC,S,Y,31,37.0,3300,0,3300
M,CA,M,N,5,11.0,0,174,0
F,PR,S,Y,24,0.0,0,0,0
F,MA,M,N,27,28.0,0,7150,0
F,WY,M,N,5,0.0,0,0,0
F,VT,S,Y,18,20.0,3300,0,3300
F,OH,M,Y,8,5.0,0,2600,1300
M,NM,S,Y,43,28.0,3300,0,3300
F,AZ,S,Y,25,18.0,2100,0,2300
M,ND,M,N,7,11.0,0,6600,0
M,TX,S,N,0,0.0,0,0,0
M,MT,S,N,49,37.0,1900,0,0
M,CO,M,N,3,24.0,0,0,0
M,MA,S,Y,16,28.0,3575,0,1000
F,VT,M,Y,17,20.0,0,6600,3300
M,MT,M,Y,10,37.0,0,3800,1900
F,IN,S,N,19,18.0,1000,0,0
F,MD,S,Y,34,25.0,2400,0,2400
F,SD,S,Y,30,0.0,0,0,0
F,TX,S,Y,30,0.0,0,0,0
F,MS,S,Y,47,26.0,6000,0,1500
M,ME,M,Y,12,45.0,0,5700,2850
M,WA,S,Y,21,0.0,0,0,0
F,UT,M,N,28,37.0,0,4950,0
M,ND,M,N,30,13.0,0,6600,0
M,CA,M,Y,42,49.0,0,174,272
M,RI,S,Y,15,0.0,0,0,0
M,IL,S,Y,38,16.0,2000,0,2000
M,TX,M,N,19,0.0,0,0,0
M,IN,M,Y,3,18.0,0,2000,1000
F,OH,S,N,30,14.0,1300,0,0
M,NJ,M,N,44,13.0,0,2000,0
M,WI,M,N,28,29.0,0,1400,0
M,IA,S,N,41,48.0,40,0,0
F,SC,M,N,18,37.0,0,6600,0
M,AL,M,N,39,26.0,0,3000,0
F,IA,S,N,16,29.0,40,0,0
F,ID,S,N,18,41.0,3300,0,0
M,AL,S,N,5,26.0,1500,0,0
M,NE,S,Y,34,36.0,103,0,103
M,KS,S,N,49,34.0,2250,0,0
F,DC,S,N,40,48.0,1370,0,0
F,PA,S,N,33,16.0,0,0,0
F,DE,S,N,24,28.0,110,0,0
F,MN,S,Y,48,42.0,3300,0,3300
F,TX,M,N,40,0.0,0,0,0
M,ND,M,Y,44,14.0,0,6600,3300
F,TX,M,N,21,0.0,0,0,0
F,KS,S,Y,10,24.0,2250,0,2250
F,MO,S,Y,26,32.0,2100,0,1200
M,OR,S,Y,36,48.0,159,0,159
M,RI,S,Y,9,0.0,0,0,0
M,VA,M,Y,49,30.0,0,1800,900
M,WI,S,N,36,30.0,700,0,0
M,IA,M,Y,25,43.0,0,80,40
M,MD,S,Y,10,25.0,2400,0,2400
F,NH,S,Y,0,0.0,0,0,0
M,HI,S,Y,29,44.0,1040,0,1040
F,MS,S,N,15,26.0,6000,0,0
F,FL,S,Y,14,0.0,0,0,0
M,MA,S,Y,10,28.0,3575,0,1000
M,PR,M,Y,46,0.0,0,0,0
M,VT,M,Y,27,22.0,0,6600,3300
F,MA,M,N,13,28.0,0,7150,0
F,MN,S,N,13,30.0,3300,0,0
F,NY,S,Y,8,21.0,0,0,1000
M,OK,S,Y,44,33.0,1000,0,1000
M,ND,M,N,37,14.0,0,6600,0
M,WV,M,Y,22,29.0,0,4000,2000
F,OR,S,N,26,48.0,159,0,0
F,NY,S,Y,16,22.0,0,0,1000
F,VT,S,N,27,21.0,3300,0,0
M,IL,M,N,41,16.0,0,4000,0
M,CA,M,Y,21,49.0,0,174,272
M,AR,M,Y,39,37.0,0,40,20
F,AL,S,Y,25,26.0,1500,0,300
M,WV,S,N,1,16.0,2000,0,0
M,CT,M,Y,22,26.0,0,24500,0
F,MT,M,Y,26,37.0,0,3800,1900
M,AK,M,N,27,0.0,0,0,0
M,RI,S,Y,23,0.0,0,0,0
F,MD,S,N,0,18.0,2400,0,0
M,MI,S,N,9,20.0,3100,0,0
M,CA,M,Y,9,20.0,0,174,272
M,WV,M,N,23,29.0,0,4000,0
F,NE,S,N,44,36.0,103,0,0
M,MI,M,Y,25,20.0,0,6200,3100
M,OK,M,Y,34,33.0,0,2000,1000
F,WI,S,N,29,29.0,700,0,0
M,FL,S,N,22,0.0,0,0,0
F,NE,S,N,4,21.0,103,0,0
F,SD,M,Y,12,0.0,0,0,0
F,MN,S,Y,16,32.0,3300,0,3300
F,MD,S,Y,10,25.0,2400,0,2400
F,OH,M,Y,19,9.0,0,2600,1300
F,MO,S,Y,25,32.0,2100,0,1200
F,SC,S,Y,22,37.0,3300,0,3300
M,UT,M,N,3,37.0,0,4950,0
M,AL,M,N,29,26.0,0,3000,0
M,PA,M,Y,13,16.0,0,0,0
M,OR,M,N,31,48.0,0,318,0
F,CO,S,N,14,24.0,0,0,0
M,OK,S,Y,5,33.0,1000,0,1000
M,LA,M,Y,21,32.0,0,9000,1000
F,TN,S,Y,2,0.0,0,0,0
M,KS,M,Y,17,34.0,0,4500,2250
F,KS,S,N,19,34.0,2250,0,0
F,AL,M,N,21,26.0,0,3000,0
F,PA,S,N,12,16.0,0,0,0
M,DC,M,N,17,48.0,0,2740,0
M,NE,M,Y,20,36.0,0,206,103
F,LA,M,Y,8,20.0,0,9000,1000
F,DC,M,N,49,48.0,0,2740,0
M,PR,M,N,38,0.0,0,0,0
F,OK,S,Y,1,7.0,1000,0,1000
F,LA,S,N,43,32.0,4500,0,0
M,AK,S,N,41,0.0,0,0,0
F,CO,M,N,17,24.0,0,0,0
M,AL,S,Y,45,26.0,1500,0,300
M,KY,M,Y,25,25.0,0,40,20
F,NC,S,N,38,39.0,3300,0,0
F,TN,S,N,28,0.0,0,0,0
M,TN,M,N,1,0.0,0,0,0
M,PA,M,N,44,16.0,0,0,0
F,WI,S,N,43,31.0,700,0,0
M,NV,M,N,14,0.0,0,0,0
M,IA,M,Y,44,48.0,0,80,40
M,PR,S,Y,44,0.0,0,0,0
M,MS,S,Y,46,26.0,6000,0,1500
M,MA,S,Y,14,28.0,3575,0,1000
M,GA,M,Y,45,32.0,0,5400,3000
M,PR,S,Y,25,0.0,0,0,0
M,WV,M,N,19,27.0,0,4000,0
M,TX,S,Y,32,0.0,0,0,0
M,MN,M,Y,19,34.0,0,6600,3300
M,MO,M,Y,42,32.0,0,4200,1200
F,AR,S,Y,11,30.0,20,0,20
F,WA,M,Y,38,0.0,0,0,0
F,SC,M,Y,31,37.0,0,6600,3300
F,KY,M,N,2,11.0,0,40,0
M,WY,M,Y,28,0.0,0,0,0
F,MI,M,N,23,20.0,0,6200,0
F,RI,S,N,39,0.0,0,0,0
M,NJ,M,N,39,12.0,0,2000,0
M,DE,S,Y,37,31.0,110,0,110
F,PR,M,N,31,0.0,0,0,0
M,MI,S,Y,20,20.0,3100,0,3100
M,LA,M,Y,48,32.0,0,9000,1000
F,UT,S,N,11,37.0,2475,0,0
M,OH,M,Y,29,13.0,0,2600,1300
M,ND,S,N,2,11.0,3300,0,0
M,NV,M,Y,1,0.0,0,0,0
F,OK,S,Y,17,33.0,1000,0,1000
F,AZ,M,N,0,15.0,0,4200,0
F,GA,S,N,15,32.0,2700,0,0
M,ME,S,Y,40,45.0,2850,0,2850
F,DE,S,Y,19,24.0,110,0,110
F,CO,M,Y,8,24.0,0,0,0
M,CO,S,Y,46,24.0,0,0,0
F,SD,M,N,25,0.0,0,0,0
M,IN,S,N,12,18.0,1000,0,0
M,NE,M,Y,17,36.0,0,206,103
F,CO,S,Y,11,24.0,0,0,0
M,VT,S,Y,27,22.0,3300,0,3300
M,WY,M,Y,7,0.0,0,0,0
F,DE,M,N,45,31.0,0,220,0
M,NH,S,Y,40,0.0,0,0,0
M,MN,S,Y,41,42.0,3300,0,3300
M,MO,M,N,8,32.0,0,4200,0
M,FL,M,Y,47,0.0,0,0,0
M,NM,S,Y,1,9.0,3300,0,3300
F,KS,S,N,49,34.0,2250,0,0
F,MN,S,N,16,32.0,3300,0,0
M,HI,M,N,49,44.0,0,2080,0
F,MT,S,N,8,37.0,1900,0,0
F,NY,M,N,46,24.0,0,0,0
M,NE,M,N,31,36.0,0,206,0
M,VA,S,Y,25,30.0,900,0,900
F,IL,M,Y,25,16.0,0,4000,2000
F,AK,M,Y,44,0.0,0,0,0
M,AZ,M,Y,37,20.0,0,4200,2300
F,LA,S,N,48,32.0,4500,0,0
F,NY,M,Y,44,24.0,0,0,1000
F,AZ,S,Y,48,22.0,2100,0,2300
F,PA,M,N,10,16.0,0,0,0
F,WY,M,Y,28,0.0,0,0,0
M,MI,M,Y,44,20.0,0,6200,3100
F,IA,S,Y,36,48.0,40,0,40
M,ME,S,N,10,45.0,2850,0,0
M,RI,S,N,10,0.0,0,0,0
F,WI,S,N,11,26.0,700,0,0
M,CA,S,N,31,49.0,87,0,0
M,MI,M,Y,32,20.0,0,6200,3100
F,HI,S,Y,9,24.0,1040,0,1040
F,IN,M,N,11,18.0,0,2000,0
M,NV,S,N,48,0.0,0,0,0
M,WV,M,N,28,34.0,0,4000,0
F,PR,M,N,30,0.0,0,0,0
M,NH,M,Y,26,0.0,0,0,0
M,DE,S,Y,48,31.0,110,0,110
F,MS,M,N,26,26.0,0,12000,0
M,IL,S,Y,29,16.0,2000,0,2000
M,TN,M,N,30,0.0,0,0,0
M,MA,S,Y,43,28.0,3575,0,1000
M,HI,M,N,27,44.0,0,2080,0
F,DC,S,Y,9,35.0,1370,0,1370
F,AZ,M,Y,37,20.0,0,4200,2300
M,NV,M,N,24,0.0,0,0,0
F,AL,S,N,40,26.0,1500,0,0
F,MS,S,Y,3,19.0,6000,0,1500
M,OH,S,Y,26,12.0,1300,0,1300
M,ME,M,Y,42,45.0,0,5700,2850
M,SC,M,N,5,33.0,0,6600,0
F,OH,S,N,19,9.0,1300,0,0
F,WV,S,N,1,16.0,2000,0,0
M,MT,M,N,11,37.0,0,3800,0
F,FL,M,N,43,0.0,0,0,0
M,AZ,M,N,43,21.0,0,4200,0
F,TX,S,N,47,0.0,0,0,0
M,PR,S,Y,6,0.0,0,0,0
F,NM,M,Y,28,28.0,0,6600,3300
F,VA,M,N,0,10.0,0,1800,0
M,MT,S,Y,17,37.0,1900,0,1900
M,MS,M,Y,33,26.0,0,12000,1500
F,CT,S,N,6,26.0,12750,0,0
M,PA,S,N,43,16.0,0,0,0
M,FL,S,Y,31,0.0,0,0,0
F,VT,S,Y,49,26.0,3300,0,3300
M,MS,M,N,15,26.0,0,12000,0
F,ID,S,Y,16,41.0,3300,0,3300
M,TX,M,Y,19,0.0,0,0,0
F,IN,S,N,13,18.0,1000,0,0
M,ME,M,Y,10,45.0,0,5700,2850
F,ND,S,N,3,11.0,3300,0,0
F,WY,M,Y,26,0.0,0,0,0
F,NH,S,N,34,0.0,0,0,0
F,CA,S,N,9,21.0,87,0,0
M,PA,S,Y,34,16.0,0,0,0
M,ME,S,Y,6,34.0,2850,0,2850
M,TN,S,Y,30,0.0,0,0,0
M,NH,M,N,31,0.0,0,0,0
M,AK,S,N,13,0.0,0,0,0
M,NJ,M,Y,21,9.0,0,2000,1500
M,MI,M,Y,14,20.0,0,6200,3100
M,MA,M,Y,48,28.0,0,7150,1000
M,OK,S,N,2,18.0,1000,0,0
F,UT,M,N,16,37.0,0,4950,0
F,MT,M,N,34,37.0,0,3800,0
M,KY,M,N,47,32.0,0,40,0
M,ND,S,Y,3,11.0,3300,0,3300
F,SC,M,N,36,37.0,0,6600,0
F,NY,S,N,6,21.0,0,0,0
M,AK,M,N,16,0.0,0,0,0
F,MO,S,N,10,32.0,2100,0,0
F,OK,S,N,47,33.0,1000,0,0
F,WV,S,Y,31,34.0,2000,0,2000
M,MD,M,N,24,25.0,0,4800,0
F,CO,S,N,36,24.0,0,0,0
M,MT,M,Y,39,37.0,0,3800,1900
M,FL,M,N,3,0.0,0,0,0
M,DE,S,N,44,31.0,110,0,0
F,UT,S,N,18,37.0,2475,0,0
M,AK,M,N,32,0.0,0,0,0
M,CA,M,Y,9,22.0,0,174,272
M,MS,S,Y,30,26.0,6000,0,1500
F,SC,M,N,20,37.0,0,6600,0
M,NV,M,N,28,0.0,0,0,0
M,WA,S,N,37,0.0,0,0,0
M,KS,S,Y,46,34.0,2250,0,2250
M,TN,S,N,7,0.0,0,0,0
M,WV,S,Y,42,34.0,2000,0,2000
M,NE,S,N,31,36.0,103,0,0
M,TX,S,Y,14,0.0,0,0,0
F,GA,S,Y,27,32.0,2700,0,3000
F,FL,M,Y,4,0.0,0,0,0
F,KS,S,N,8,21.0,2250,0,0
F,WA,S,N,33,0.0,0,0,0
F,UT,M,Y,21,37.0,0,4950,2475
M,ND,S,Y,3,11.0,3300,0,3300
M,PR,M,N,43,0.0,0,0,0
F,SD,S,N,0,0.0,0,0,0
M,CT,S,N,3,16.0,12750,0,0
F,AZ,M,N,15,17.0,0,4200,0
M,CT,S,Y,3,16.0,12750,0,0
F,KS,M,Y,25,34.0,0,4500,2250
F,NM,M,Y,42,28.0,0,6600,3300
M,MT,M,N,12,37.0,0,3800,0
F,IA,S,N,0,1.0,40,0,0
F,AZ,S,Y,27,19.0,2100,0,2300
M,MS,S,Y,19,26.0,6000,0,1500
F,NY,M,Y,45,24.0,0,0,1000
F,MS,M,Y,35,26.0,0,12000,1500
M,NE,S,Y,27,36.0,103,0,103
F,MS,M,Y,5,26.0,0,12000,1500
M,NH,S,N,47,0.0,0,0,0
M,DC,S,Y,18,48.0,1370,0,1370
F,MO,S,N,4,32.0,2100,0,0
M,CO,M,Y,46,24.0,0,0,0
M,OH,M,N,35,15.0,0,2600,0
M,NC,S,N,1,32.0,3300,0,0
M,TX,S,Y,27,0.0,0,0,0
M,AZ,M,Y,0,15.0,0,4200,2300
F,NE,S,Y,37,36.0,103,0,103
F,DE,M,Y,6,14.0,0,220,110
M,WI,S,N,42,31.0,700,0,0
M,DE,S,Y,22,26.0,110,0,110
M,ID,M,Y,21,41.0,0,6600,3300
F,WV,S,Y,48,34.0,2000,0,2000
F,ME,S,N,19,45.0,2850,0,0
F,AK,S,N,45,0.0,0,0,0
M,IL,M,N,10,16.0,0,4000,0
F,PR,M,N,7,0.0,0,0,0
F,TN,M,Y,31,0.0,0,0,0
F,WV,M,N,19,27.0,0,4000,0
F,SD,M,Y,37,0.0,0,0,0
M,WY,M,N,21,0.0,0,0,0
M,RI,M,N,36,0.0,0,0,0
M,NC,S,Y,3,32.0,3300,0,3300
M,OH,M,Y,37,16.0,0,2600,1300
M,VA,M,Y,49,30.0,0,1800,900
F,AR,M,Y,22,37.0,0,40,20
F,MA,S,Y,34,28.0,3575,0,1000
M,CT,M,N,19,26.0,0,24500,0
F,WV,M,Y,9,19.0,0,4000,2000
M,DE,M,N,24,28.0,0,220,0
M,WV,M,N,21,28.0,0,4000,0
M,NE,S,N,28,36.0,103,0,0
F,MN,M,Y,5,28.0,0,6600,3300
M,AK,S,N,27,0.0,0,0,0
F,ND,S,Y,25,12.0,3300,0,3300
M,UT,M,Y,15,37.0,0,4950,2475
M,MS,M,Y,8,26.0,0,12000,1500
F,MO,M,N,20,32.0,0,4200,0
M,VA,M,N,28,30.0,0,1800,0
F,GA,M,Y,9,32.0,0,5400,3000
F,ME,S,N,49,45.0,2850,0,0
M,DE,S,Y,29,31.0,110,0,110
M,KY,M,Y,42,32.0,0,40,20
F,MO,S,N,46,32.0,2100,0,0
M,NE,M,N,19,36.0,0,206,0
F,KY,M,Y,22,23.0,0,40,20
M,NH,S,Y,43,0.0,0,0,0
M,MO,S,N,34,32.0,2100,0,0
F,DC,M,Y,29,48.0,0,2740,1370
F,NC,S,Y,29,37.0,3300,0,3300
M,NH,M,N,12,0.0,0,0,0
M,WY,S,N,45,0.0,0,0,0
F,GA,M,Y,11,32.0,0,5400,3000
F,MT,S,Y,19,37.0,1900,0,1900
F,CO,M,N,37,24.0,0,0,0
F,MS,S,Y,15,26.0,6000,0,1500
F,AZ,M,N,6,15.0,0,4200,0
F,NJ,M,Y,47,13.0,0,2000,1500
F,IA,S,N,4,8.0,40,0,0
M,ND,S,N,35,13.0,3300,0,0
F,MN,M,N,17,32.0,0,6600,0
M,VA,S,Y,2,14.0,900,0,900
M,VT,M,Y,31,22.0,0,6600,3300
M,NV,S,Y,44,0.0,0,0,0
F,MI,S,N,41,20.0,3100,0,0
F,MT,M,N,41,37.0,0,3800,0
F,WI,S,N,15,26.0,700,0,0
M,AR,M,Y,25,37.0,0,40,20
F,IL,M,N,38,16.0,0,4000,0
M,PA,S,N,20,16.0,0,0,0
M,MT,M,N,34,37.0,0,3800,0
F,NC,S,Y,30,37.0,3300,0,3300
F,IN,S,Y,29,18.0,1000,0,1000
M,AZ,M,N,21,18.0,0,4200,0
M,NC,M,N,33,38.0,0,6600,0
F,NH,S,Y,13,0.0,0,0,0
M,ME,M,N,45,45.0,0,5700,0
F,MS,S,N,19,26.0,6000,0,0
M,VA,M,N,43,30.0,0,1800,0
F,OR,S,N,46,48.0,159,0,0
F,MI,M,N,41,20.0,0,6200,0
F,MA,S,N,8,28.0,3575,0,0
F,WI,M,Y,5,25.0,0,1400,400
F,AL,M,N,31,26.0,0,3000,0
F,MA,S,Y,39,28.0,3575,0,1000
M,KS,S,N,18,34.0,2250,0,0
M,NV,S,Y,1,0.0,0,0,0
M,WI,S,Y,23,28.0,700,0,400
F,NM,S,N,38,28.0,3300,0,0
F,SC,M,Y,39,37.0,0,6600,3300
M,NJ,M,N,44,13.0,0,2000,0
M,NY,S,N,28,23.0,0,0,0
M,MD,M,Y,7,25.0,0,4800,2400
F,NY,S,N,43,23.0,0,0,0
F,CA,S,N,42,49.0,87,0,0
M,IL,S,Y,3,16.0,2000,0,2000
M,MI,M,Y,5,20.0,0,6200,3100
F,NH,M,N,17,0.0,0,0,0
F,CA,S,Y,24,49.0,87,0,272
F,UT,S,Y,10,37.0,2475,0,2475
M,ND,S,N,45,15.0,3300,0,0
M,WI,S,N,20,27.0,700,0,0
F,AR,S,Y,36,37.0,20,0,20
F,ID,M,N,43,41.0,0,6600,0
F,ME,M,Y,12,45.0,0,5700,2850
M,KY,M,Y,25,25.0,0,40,20
M,SC,M,N,37,37.0,0,6600,0
F,TN,S,Y,7,0.0,0,0,0
M,SC,S,Y,28,37.0,3300,0,3300
F,SD,S,Y,32,0.0,0,0,0
M,GA,M,Y,13,32.0,0,5400,3000
F,MI,S,Y,23,20.0,3100,0,3100
M,WY,M,N,48,0.0,0,0,0
M,DC,S,N,26,48.0,1370,0,0
M,MN,S,N,41,42.0,3300,0,0
F,UT,M,N,2,37.0,0,4950,0
M,TX,S,N,27,0.0,0,0,0
M,PR,S,N,39,0.0,0,0,0
F,SD,M,Y,3,0.0,0,0,0
F,AR,M,Y,13,36.0,0,40,20
F,UT,M,Y,45,37.0,0,4950,2475
F,NY,S,N,45,24.0,0,0,0
M,NE,S,Y,29,36.0,103,0,103
M,SD,M,N,49,0.0,0,0,0
M,DC,S,Y,24,48.0,1370,0,1370
M,NC,M,Y,43,40.0,0,6600,3300
F,CA,M,Y,23,49.0,0,174,272
M,NE,M,N,37,36.0,0,206,0
F,MO,M,Y,2,21.0,0,4200,1200
M,SC,M,N,48,37.0,0,6600,0
M,SC,S,Y,46,37.0,3300,0,3300
F,LA,M,N,21,32.0,0,9000,0
M,AZ,S,N,9,16.0,2100,0,0
F,FL,S,N,20,0.0,0,0,0
M,NH,S,Y,28,0.0,0,0,0
M,CA,M,Y,3,6.0,0,174,272
F,AZ,M,Y,21,18.0,0,4200,2300
F,NE,M,N,41,36.0,0,206,0
M,KS,S,N,11,26.0,2250,0,0
M,GA,M,N,8,32.0,0,5400,0
M,OK,M,N,24,33.0,0,2000,0
F,NC,M,N,24,36.0,0,6600,0
F,AR,S,N,21,37.0,20,0,0
M,WY,S,N,30,0.0,0,0,0
F,CT,S,N,9,26.0,12750,0,0
M,TN,M,Y,4,0.0,0,0,0
F,MN,S,Y,22,35.0,3300,0,3300
F,TX,S,Y,33,0.0,0,0,0
M,NJ,S,Y,49,14.0,1000,0,1500
F,OK,S,N,49,33.0,1000,0,0
M,IA,M,Y,32,48.0,0,80,40
F,CO,M,Y,43,24.0,0,0,0
F,NE,S,N,43,36.0,103,0,0
M,SC,S,Y,19,37.0,3300,0,3300
M,ID,S,Y,32,41.0,3300,0,3300
F,WY,S,Y,21,0.0,0,0,0
F,AK,S,Y,3,0.0,0,0,0
M,CT,S,Y,44,26.0,12750,0,0
F,WI,S,N,2,24.0,700,0,0
M,NC,S,Y,2,32.0,3300,0,3300
F,GA,S,Y,42,32.0,2700,0,3000
F,VA,M,Y,11,30.0,0,1800,900
F,AR,M,Y,8,24.0,0,40,20
F,TN,S,Y,33,0.0,0,0,0
F,KS,S,Y,4,18.0,2250,0,2250
M,CO,S,Y,1,24.0,0,0,0
M,IA,M,N,46,48.0,0,80,0
M,IL,S,N,40,16.0,2000,0,0
F,NV,S,N,20,0.0,0,0,0
M,IA,M,N,15,27.0,0,80,0
F,SC,M,N,18,37.0,0,6600,0
F,GA,M,N,35,32.0,0,5400,0
F,CA,M,N,37,49.0,0,174,0
F,ME,S,Y,42,45.0,2850,0,2850
F,MS,S,Y,38,26.0,6000,0,1500
F,TX,S,Y,25,0.0,0,0,0
M,NV,M,N,4,0.0,0,0,0
M,MA,M,Y,24,28.0,0,7150,1000
M,HI,M,N,31,44.0,0,2080,0
F,GA,M,Y,7,32.0,0,5400,3000
M,NV,M,N,16,0.0,0,0,0
F,NC,S,Y,41,40.0,3300,0,3300
M,MT,M,Y,26,37.0,0,3800,1900
F,NC,S,Y,25,36.0,3300,0,3300
F,WV,S,N,2,16.0,2000,0,0
M,NM,M,Y,14,28.0,0,6600,3300
F,DC,M,Y,39,48.0,0,2740,1370
F,AZ,S,N,38,21.0,2100,0,0
M,VT,S,N,49,26.0,3300,0,0
F,WV,M,Y,33,34.0,0,4000,2000
M,NJ,M,Y,37,12.0,0,2000,1500
F,WV,M,N,14,23.0,0,4000,0
F,MT,S,Y,39,37.0,1900,0,1900
M,OR,M,Y,23,48.0,0,318,159
M,PA,M,N,21,16.0,0,0,0
F,NE,S,Y,36,36.0,103,0,103
M,MS,M,Y,3,20.0,0,12000,1500
M,LA,S,Y,34,32.0,4500,0,1000
M,TX,M,Y,8,0.0,0,0,0
F,WY,M,Y,24,0.0,0,0,0
F,GA,S,Y,32,32.0,2700,0,3000
F,CA,S,N,33,49.0,87,0,0
M,WV,S,N,37,34.0,2000,0,0
M,KY,S,Y,9,15.0,20,0,20
F,MT,M,Y,15,37.0,0,3800,1900
F,CT,S,Y,26,26.0,12750,0,0
M,RI,M,Y,37,0.0,0,0,0
F,KY,S,N,37,32.0,20,0,0
M,WY,M,Y,46,0.0,0,0,0
F,OH,S,N,4,4.0,1300,0,0
M,KY,S,N,33,29.0,20,0,0
M,IL,M,N,1,16.0,0,4000,0
F,MS,M,Y,31,26.0,0,12000,1500
M,OK,S,N,32,33.0,1000,0,0
F,PA,S,N,33,16.0,0,0,0
F,MA,M,N,13,28.0,0,7150,0
M,WY,S,N,9,0.0,0,0,0
F,RI,S,Y,10,0.0,0,0,0
F,WA,M,Y,20,0.0,0,0,0
M,IN,M,Y,7,18.0,0,2000,1000
F,DC,M,Y,34,48.0,0,2740,1370
F,NE,S,Y,48,36.0,103,0,103
F,WA,M,N,31,0.0,0,0,0
M,WY,S,N,4,0.0,0,0,0
F,NJ,S,N,9,7.0,1000,0,0
F,IN,M,Y,42,18.0,0,2000,1000
M,MN,S,Y,9,28.0,3300,0,3300
F,MS,S,Y,14,26.0,6000,0,1500
M,OK,S,Y,13,33.0,1000,0,1000
F,OK,S,N,37,33.0,1000,0,0
F,MD,S,Y,17,25.0,2400,0,2400
F,IL,S,Y,32,16.0,2000,0,2000
F,VT,S,Y,20,20.0,3300,0,3300
M,SC,M,N,11,37.0,0,6600,0
M,WA,S,N,12,0.0,0,0,0
F,KY,S,N,18,20.0,20,0,0
M,RI,S,Y,37,0.0,0,0,0
F,VA,M,N,48,30.0,0,1800,0
F,MS,M,N,23,26.0,0,12000,0
M,MN,S,Y,41,42.0,3300,0,3300
F,KS,M,Y,2,18.0,0,4500,2250
F,TN,M,Y,18,0.0,0,0,0
F,IN,M,Y,21,18.0,0,2000,1000
F,ME,M,Y,46,45.0,0,5700,2850
M,MA,M,Y,49,28.0,0,7150,1000
M,NE,M,N,37,36.0,0,206,0
F,OR,S,N,34,48.0,159,0,0
F,LA,S,Y,4,10.0,4500,0,1000
F,AL,M,Y,36,26.0,0,3000,300
F,HI,M,N,24,44.0,0,2080,0
F,IN,S,N,39,18.0,1000,0,0
F,CO,M,Y,0,24.0,0,0,0
F,ID,S,Y,0,9.0,3300,0,3300
F,FL,M,N,15,0.0,0,0,0
F,NC,M,N,16,34.0,0,6600,0
F,NE,S,N,8,27.0,103,0,0
M,GA,M,N,29,32.0,0,5400,0
F,AR,M,Y,19,37.0,0,40,20
M,PA,S,N,7,16.0,0,0,0
M,WV,M,Y,17,25.0,0,4000,2000
M,MS,M,Y,41,26.0,0,12000,1500
M,NE,M,Y,6,24.0,0,206,103
M,SC,S,N,30,37.0,3300,0,0
M,NC,M,N,4,32.0,0,6600,0
M,MS,S,Y,10,26.0,6000,0,1500
F,MD,S,Y,2,25.0,2400,0,2400
F,MI,S,N,35,20.0,3100,0,0
F,MI,M,N,33,20.0,0,6200,0
M,OH,S,N,1,3.0,1300,0,0
F,AR,S,N,3,11.0,20,0,0
M,AK,S,Y,13,0.0,0,0,0
F,PA,M,N,21,16.0,0,0,0
M,IL,M,Y,18,16.0,0,4000,2000
M,WY,M,Y,41,0.0,0,0,0
F,MO,S,N,36,32.0,2100,0,0
M,ME,S,N,20,45.0,2850,0,0
F,WA,M,Y,30,0.0,0,0,0
M,PR,S,N,15,0.0,0,0,0
M,WA,M,Y,7,0.0,0,0,0
F,VA,M,N,26,30.0,0,1800,0
F,IN,S,Y,19,18.0,1000,0,1000
M,MS,S,Y,21,26.0,6000,0,1500
F,NM,S,Y,17,28.0,3300,0,3300
M,NJ,M,Y,44,13.0,0,2000,1500
M,ID,S,N,15,41.0,3300,0,0
F,ID,M,Y,3,16.0,0,6600,3300
F,IL,M,N,14,16.0,0,4000,0
F,OH,M,N,23,11.0,0,2600,0
F,NH,M,N,3,0.0,0,0,0
M,AK,M,Y,18,0.0,0,0,0
F,AL,M,Y,28,26.0,0,3000,300
